Survey_id,District_code,District_Name,Taluk_code,Taluk_Name,Hobli_code,Hobli_Name,Village_code,Village_Name,Year_code,Years,Season_code,Season,Cropname,Crop_Extent,CropSurveyDate,Month,Weekname,Latitude,Longtitude
10005750,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Sugarcane-H,2-24-0.00,13-08-2020,December,3rd week,16.2726158,74.7920455
10005750,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Maize-L,6-0-0.00,13-08-2020,July,3rd week,16.2722105,74.7924317
10005750,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Turmeric,2-0-0.00,13-08-2020,May,4th week,16.2720613,74.793054
10005750,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Bhendi/ Ladies Finger,2-0-0.00,13-08-2020,August,2nd week,16.2722028,74.7929912
10005805,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Turmeric,1-0-0.00,13-08-2020,May,4th week,16.2719588,74.7930349
10005805,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Sugar cane ratun-P,1-0-0.00,13-08-2020,December,2nd week,16.2719618,74.7930062
10006265,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Maize-L,3-9-0.00,13-08-2020,June,4th week,16.2692171,74.7922135
10043393,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Turmeric,2-6-0.00,16-08-2020,June,2nd week,16.2667406,74.7671346
10043393,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Turmeric,2-6-0.00,16-08-2020,June,2nd week,16.2662577,74.7671895
10043393,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Turmeric,2-6-0.00,16-08-2020,June,2nd week,16.2667518,74.7671132
10046146,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Sugarcane-P,10-4-0.00,16-08-2020,January,1st week,16.2638917,74.7679312
10048283,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Maize-H,2-0-0.00,14-10-2020,June,1st week,16.2601697,74.7876106
10048350,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Sugarcane-H,2-12-0.00,14-10-2020,March,1st week,16.2603041,74.7875079
10048350,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Sugar cane ratun-P,3-0-0.00,14-10-2020,January,1st week,16.260172,74.7875614
10049539,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Sugar cane ratun-P,4-12-0.00,17-08-2020,January,3rd week,16.2639737,74.7668976
10051472,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Green Chillies ,4-23-0.00,17-08-2020,June,2nd week,16.2660265,74.7672174
10051852,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Soyabean,0-20-0.00,17-08-2020,June,1st week,16.268356,74.7672019
10052306,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Turmeric,1-2-0.00,17-08-2020,June,2nd week,16.2683591,74.7673854
10053426,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Turmeric,0-33-0.00,17-08-2020,June,1st week,16.2694928,74.7685042
10053622,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Sugarcane-P,1-0-8.00,17-08-2020,February,1st week,16.2690408,74.7685256
10054562,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Sugar cane ratun-P,1-5-0.00,17-08-2020,January,2nd week,16.269663,74.7688518
10054996,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Sugarcane-H,1-5-0.00,17-08-2020,January,3rd week,16.2693248,74.768822
10055467,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Sugar cane ratun-H,1-4-0.00,17-08-2020,February,3rd week,16.2689525,74.7688118
10055829,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Brinjal,0-13-0.00,17-08-2020,June,4th week,16.2693419,74.7684865
10058560,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Sweet Corn,1-18-0.00,17-08-2020,June,2nd week,16.2655027,74.7684806
10059192,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Turmeric,1-0-0.00,17-08-2020,May,1st week,16.2644089,74.7685093
10059505,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Sweet Corn,0-33-0.00,17-08-2020,June,4th week,16.2638096,74.7684828
10064494,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Sweet Corn,0-16-0.00,17-08-2020,June,1st week,16.2648232,74.769215
10065288,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Turmeric,0-35-0.00,17-08-2020,June,1st week,16.2671518,74.7693806
10065679,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Sugar cane ratun-H,0-20-0.00,14-10-2020,March,1st week,16.2653409,74.7702004
10065888,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Turmeric,1-4-0.00,17-08-2020,June,2nd week,16.2689629,74.7694241
10066274,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Turmeric,1-11-0.00,17-08-2020,June,3rd week,16.2689261,74.7693885
10066964,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Sugarcane-H,0-23-0.00,17-08-2020,March,2nd week,16.2675928,74.7693797
10067212,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Sweet Corn,0-7-0.00,17-08-2020,June,3rd week,16.2651777,74.7692677
10067545,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Sugarcane-H,0-34-0.00,17-08-2020,March,3rd week,16.2645989,74.7692272
10069452,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Maize-H,0-8-0.00,17-08-2020,June,1st week,16.2658395,74.7731896
10069717,1,Belagavi,4,Gokak,2,ARABHANVI,13,BADIGAVADA,118,2020-2021,1,Kharif,Sugarcane-P,0-4-8.00,17-08-2020,February,1st week,16.2657319,74.773091
